NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	SCI2	HNZ	--	"San Clemente Island, CA, USA"	32.915	-118.4879	486	9/23/02	1/1/00	0	
AZ	SHUM	HHE	--	"Shumway Ranch, Riverside CO.,"	33.6327	-116.4445	1195	4/23/96	6/17/97	0	
AZ	SHUM	HHN	--	"Shumway Ranch, Riverside CO.,"	33.6327	-116.4445	1195	4/23/96	6/17/97	0	
AZ	SHUM	HHZ	--	"Shumway Ranch, Riverside CO.,"	33.6327	-116.4445	1195	4/23/96	6/17/97	0	
AZ	SMER	BHE	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	BHN	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	BHZ	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	HHE	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	HHN	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	HHZ	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	*realtime
AZ	SMER	HNE	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	2/9/02	1/1/00	0	*realtime
AZ	SMER	HNN	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	2/9/02	1/1/00	0	*realtime
AZ	SMER	HNZ	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	2/9/02	1/1/00	0	*realtime
AZ	SMER	LHE	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	
AZ	SMER	LHN	--	Santa Margarita Ecological Res	33.4577	-117.1708	355	7/12/02	1/1/00	0	
