longitude latitude PGA(g)	
102.909330 -1.645020 0.140365
102.909330 -1.445020 0.140686
102.909330 -1.245020 0.141058
102.909330 -1.045020 0.141477
102.909330 -0.845020 0.141905
102.909330 -0.645020 0.142360
102.909330 -0.445020 0.142813
102.909330 -0.245020 0.143265
102.909330 -0.045020 0.143715
102.909330 0.154980 0.144165
102.909330 0.354980 0.144581
102.909330 0.554980 0.145024
102.909330 0.954980 0.140475
102.909330 1.954980 0.047671
102.909330 2.154980 0.037509
102.909330 2.354980 0.030352
102.909330 2.554980 0.024796
102.909330 2.754980 0.023058
102.909330 2.954980 0.022479
102.909330 3.154980 0.021615
102.909330 3.354980 0.020468
102.909330 3.554980 0.019003
102.909330 3.754980 0.018088
102.909330 3.954980 0.016899
102.909330 4.154980 0.015534
102.909330 4.354980 0.014576
102.909330 4.554980 0.014039
102.909330 4.754980 0.013490
102.909330 4.954980 0.012919
102.909330 5.154980 0.012345
102.909330 5.354980 0.011786
103.109330 -4.445020 0.171750
103.109330 -4.245020 0.165163
103.109330 -4.045020 0.160816
103.109330 -3.845020 0.153881
103.109330 -3.645020 0.148890
103.109330 -3.445020 0.145135
103.109330 -3.245020 0.142714
103.109330 -3.045020 0.141143
103.109330 -2.845020 0.139586
103.109330 -2.645020 0.139101
103.109330 -2.445020 0.138923
103.109330 -2.245020 0.138907
103.109330 -2.045020 0.139047
103.109330 -1.845020 0.139324
103.109330 -1.645020 0.139688
103.109330 -1.445020 0.140094
103.109330 -1.245020 0.140516
103.109330 -1.045020 0.135685
103.109330 -0.845020 0.141409
103.109330 -0.645020 0.141846
103.109330 -0.445020 0.142301
103.109330 -0.245020 0.142754
103.109330 -0.045020 0.143206
103.109330 0.154980 0.143630
103.109330 0.354980 0.144076
103.109330 0.754980 0.139542
103.109330 1.754980 0.054922
103.109330 1.954980 0.043695
103.109330 2.154980 0.034919
103.109330 2.354980 0.028783
103.109330 2.554980 0.023939
103.109330 2.754980 0.020799
103.109330 2.954980 0.019121
103.109330 3.154980 0.018180
103.109330 3.354980 0.017015
103.109330 3.554980 0.015674
103.109330 3.754980 0.014972
103.109330 3.954980 0.014557
103.109330 4.154980 0.014071
103.109330 4.354980 0.013536
103.109330 4.554980 0.013024
103.109330 4.754980 0.012580
103.109330 4.954980 0.012114
103.109330 5.154980 0.011636
103.109330 5.354980 0.011169
103.309330 -4.645020 0.171155
103.309330 -4.445020 0.161420
103.309330 -4.245020 0.153589
103.309330 -4.045020 0.150136
103.309330 -3.845020 0.146734
103.309330 -3.645020 0.143989
103.309330 -3.445020 0.141881
103.309330 -3.245020 0.140287
103.309330 -3.045020 0.138693
103.309330 -2.845020 0.137899
103.309330 -2.645020 0.137629
103.309330 -2.445020 0.137801
103.309330 -2.245020 0.138061
103.309330 -2.045020 0.138352
103.309330 -1.845020 0.138736
103.309330 -1.645020 0.139148
103.309330 -1.445020 0.139572
103.309330 -1.245020 0.134800
103.309330 -1.045020 0.118652
103.309330 -0.845020 0.122754
103.309330 -0.645020 0.123105
103.309330 -0.445020 0.123474
103.309330 -0.245020 0.123820
103.309330 -0.045020 0.142690
103.309330 0.154980 0.143118
103.309330 0.354980 0.138198
103.309330 1.754980 0.047165
103.309330 1.954980 0.038790
103.309330 2.154980 0.031991
103.309330 2.354980 0.026537
